"season","date","team","gameid","opponent","venue","homeaway","result","reg","oppreg","final","oppfinal","Poss","OppPoss","OffRtg","DefRtg","eFG%","TO%","OR%","FTR","OppeFG%","OppTO%","OppOR%","OppFTR","FG%","OppFG%","3PT%","Opp3PT%","FT%","OppFT%","Min","FIC","Off","Def","Reb","Ast","PF","STL","TO","BLK","PTS","FGM","FGA","3PM","3PA","FTM","FTA","OppFIC","OppOff","OppDef","OppReb","OppAst","OppPF","OppSTL","OppTO","OppBLK","OppPTS","OppFGM","OppFGA","Opp3PM","Opp3PA","OppFTM","OppFTA","teamOdds","oppOdds","teamLine","totalLine","playoffGame","ot","mov"
"2020",2019-11-10,"Adelaide 36ers","336799","Melbourne United","Melbourne Arena","Away",0,90,109,90,109,82,82,109.1,132.1,0.487,0.17,0.4,0.227,0.58,0.182,0.342,0.293,44,50.7,31.8,44,94.4,88,"200",52.8,12,21,33,16,23,9,14,5,90,33,75,7,22,17,18,83.1,17,27,44,19,18,8,15,5,109,38,75,11,25,22,25,3.6,1.3,7.5,193.5,"N","N",-19
"2020",2019-11-09,"Cairns Taipans","336798","Illawarra Hawks","Cairns Convention Centre","Home",0,91,101,91,101,74,74,123.2,136.8,0.546,0.176,0.36,0.308,0.542,0.162,0.578,0.119,47.7,46.4,31,41.9,83.3,71.4,"199",59.2,12,19,31,18,20,8,13,2,91,31,65,9,29,20,24,85,27,22,49,23,20,8,13,3,101,39,84,13,31,10,14,1.3,3.6,-7.5,172.5,"N","N",-10
"2020",2019-11-09,"Illawarra Hawks","336798","Cairns Taipans","Cairns Convention Centre","Away",1,101,91,101,91,74,74,136.8,123.2,0.542,0.162,0.578,0.119,0.546,0.176,0.36,0.308,46.4,47.7,41.9,31,71.4,83.3,"200",85,27,22,49,23,20,8,13,3,101,39,84,13,31,10,14,59.2,12,19,31,18,20,8,13,2,91,31,65,9,29,20,24,3.6,1.3,7.5,172.5,"N","N",10
"2020",2019-11-09,"South East Melbourne Phoenix","336797","New Zealand Breakers","Melbourne Arena","Home",1,103,78,103,78,86,86,119.5,90.5,0.611,0.162,0.163,0.208,0.446,0.151,0.242,0.162,55.6,39.2,34.8,27.6,65.2,75,"199",81.9,9,37,46,22,19,4,14,5,103,40,72,8,23,15,23,42.8,9,26,35,16,24,6,13,2,78,29,74,8,29,12,16,1.5,2.6,-4.5,191.5,"N","N",25
"2020",2019-11-09,"New Zealand Breakers","336797","South East Melbourne Phoenix","Melbourne Arena","Away",0,78,103,78,103,86,86,90.5,119.5,0.446,0.151,0.242,0.162,0.611,0.162,0.163,0.208,39.2,55.6,27.6,34.8,75,65.2,"200",42.8,9,26,35,16,24,6,13,2,78,29,74,8,29,12,16,81.9,9,37,46,22,19,4,14,5,103,40,72,8,23,15,23,2.6,1.5,4.5,191.5,"N","N",-25
"2020",2019-11-08,"Brisbane Bullets","336796","Sydney Kings","Brisbane Entertainment Centre","Home",0,85,95,85,95,82,82,103.4,115.6,0.507,0.207,0.268,0.183,0.548,0.109,0.258,0.205,43.7,47.9,34.5,37,72.2,62.5,"200",50.5,13,34,47,14,30,5,17,5,85,31,71,10,29,13,18,70,10,27,37,19,19,9,9,4,95,35,73,10,27,15,24,1.97,1.85,1,175.5,"N","N",-10
"2020",2019-11-08,"Sydney Kings","336796","Brisbane Bullets","Brisbane Entertainment Centre","Away",1,95,85,95,85,82,82,115.6,103.4,0.548,0.109,0.258,0.205,0.507,0.207,0.268,0.183,47.9,43.7,37,34.5,62.5,72.2,"200",70,10,27,37,19,19,9,9,4,95,35,73,10,27,15,24,50.5,13,34,47,14,30,5,17,5,85,31,71,10,29,13,18,1.85,1.97,-1,175.5,"N","N",10
"2020",2019-11-07,"New Zealand Breakers","336795","Melbourne United","Vector Arena","Home",0,101,104,101,104,78,78,129.1,133,0.52,0.102,0.366,0.324,0.546,0.102,0.351,0.276,45.9,48.7,30,32.1,85.7,87.5,"200",71,16,27,43,15,23,5,8,1,101,34,74,9,30,24,28,72.5,14,25,39,15,21,5,8,2,104,37,76,9,28,21,24,2.2,1.68,2.5,186.5,"N","N",-3
"2020",2019-11-07,"Melbourne United","336795","New Zealand Breakers","Vector Arena","Away",1,104,101,104,101,78,78,133,129.1,0.546,0.102,0.351,0.276,0.52,0.102,0.366,0.324,48.7,45.9,32.1,30,87.5,85.7,"199",72.5,14,25,39,15,21,5,8,2,104,37,76,9,28,21,24,71,16,27,43,15,23,5,8,1,101,34,74,9,30,24,28,1.68,2.2,-2.5,186.5,"N","N",3
"2020",2019-11-04,"Melbourne United","336794","Sydney Kings","Melbourne Arena","Home",1,107,104,107,104,82,82,130.4,126.8,0.538,0.085,0.368,0.263,0.636,0.146,0.25,0.214,45,52.9,35,45.5,80.8,57.7,"200",76.8,15,26,41,16,21,7,7,2,107,36,80,14,40,21,26,78.5,11,30,41,23,21,1,12,6,104,37,70,15,33,15,26,1.82,2,-1.5,179.5,"N","N",3
