"Season","Date","Team","Opp","Venue","HA","Player","Status","Pos","Min","FIC","Off","Def","Reb","Ast","PF","STL","TO","BLK","PTS","FGM","FGA","3PM","3PA","FTM","FTA","Gameid","result","mov","doubles","fantasy"
"2020",2019-11-17,"Perth Wildcats","New Zealand Breakers","Perth Arena","Home","Bryce Cotton","Starter","PG",36.1,18.6,0,2,2,4,1,1,3,0,34,9,19,6,14,10,11,"336843",1,11,1,50
"2020",2019-11-17,"Perth Wildcats","New Zealand Breakers","Perth Arena","Home","Nicholas Kay","Starter","C",29.8666666666667,7.4,2,6,8,4,3,1,1,0,4,1,6,0,0,2,3,"336843",1,11,0,35
"2020",2019-11-17,"Perth Wildcats","New Zealand Breakers","Perth Arena","Home","Damian Martin","Starter","SG",21.6333333333333,8.2,1,2,3,5,1,2,1,0,4,1,4,0,1,2,2,"336843",1,11,0,33
"2020",2019-11-17,"Perth Wildcats","New Zealand Breakers","Perth Arena","Home","Terrico White","Starter","SF",20.9,11.8,0,3,3,5,2,0,0,0,10,4,6,2,3,0,0,"336843",1,11,1,34
"2020",2019-11-17,"Perth Wildcats","New Zealand Breakers","Perth Arena","Home","Dario Hunt","Starter","PF",19.2333333333333,7,0,3,3,4,1,0,2,0,10,4,7,0,0,2,4,"336843",1,11,1,23
"2020",2019-11-17,"Perth Wildcats","New Zealand Breakers","Perth Arena","Home","Clint Steindl","Bench","SF",22.2333333333333,2.8,1,3,4,0,0,0,3,1,6,2,6,2,4,0,0,"336843",1,11,0,15
"2020",2019-11-17,"Perth Wildcats","New Zealand Breakers","Perth Arena","Home","Mitchell Norton","Bench","PG",19.1333333333333,2.2,0,1,1,2,3,0,0,0,4,1,3,0,0,2,2,"336843",1,11,0,13
"2020",2019-11-17,"Perth Wildcats","New Zealand Breakers","Perth Arena","Home","Jesse Wagstaff","Bench","SF",16.6333333333333,6.9,1,2,3,0,3,0,1,0,14,5,9,3,6,1,1,"336843",1,11,1,22
"2020",2019-11-17,"Perth Wildcats","New Zealand Breakers","Perth Arena","Home","Majok Majok","Bench","PF",10.8,2.2,4,0,4,0,1,0,1,0,2,1,3,0,0,0,0,"336843",1,11,0,13
"2020",2019-11-17,"Perth Wildcats","New Zealand Breakers","Perth Arena","Home","Rhys Vague","Bench","PF",3.46666666666667,1.2,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,"336843",1,11,0,7
"2020",2019-11-17,"Perth Wildcats","New Zealand Breakers","Perth Arena","Home","Team","","",NA,NA,4,6,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"336843",1,11,NA,NA
"2020",2019-11-17,"New Zealand Breakers","Perth Wildcats","Perth Arena","Away","Corey Webster","Starter","SG",35.2833333333333,9.2,2,5,7,4,3,1,5,0,23,10,24,3,12,0,0,"336843",0,-11,1,41
"2020",2019-11-17,"New Zealand Breakers","Perth Wildcats","Perth Arena","Away","Thomas Abercrombie","Starter","PF",29.3666666666667,12,1,3,4,2,4,2,0,0,12,4,6,2,4,2,2,"336843",0,-11,1,36
"2020",2019-11-17,"New Zealand Breakers","Perth Wildcats","Perth Arena","Away","Sek Henry","Starter","PG",26.5,3.5,2,1,3,2,3,1,1,0,10,2,11,2,8,4,4,"336843",0,-11,1,24
"2020",2019-11-17,"New Zealand Breakers","Perth Wildcats","Perth Arena","Away","R.J. Hampton","Starter","SF",26.2833333333333,5.5,0,4,4,5,0,0,0,1,4,2,10,0,2,0,0,"336843",0,-11,0,27
"2020",2019-11-17,"New Zealand Breakers","Perth Wildcats","Perth Arena","Away","Brandon Ashley","Starter","C",23.6666666666667,18,4,3,7,2,5,1,0,2,16,6,7,1,1,3,4,"336843",0,-11,1,52
"2020",2019-11-17,"New Zealand Breakers","Perth Wildcats","Perth Arena","Away","Tom Vodanovich","Bench","SF",17.25,-1.8,0,1,1,0,4,0,0,0,1,0,1,0,1,1,2,"336843",0,-11,0,2
"2020",2019-11-17,"New Zealand Breakers","Perth Wildcats","Perth Arena","Away","Finn Delany","Bench","C",16.6166666666667,9.8,0,4,4,1,0,1,1,0,8,2,2,2,2,2,2,"336843",0,-11,0,23
"2020",2019-11-17,"New Zealand Breakers","Perth Wildcats","Perth Arena","Away","Jarrad Weeks","Bench","PG",15.9,-2,0,0,0,0,1,1,1,0,3,1,6,1,4,0,0,"336843",0,-11,0,4
"2020",2019-11-17,"New Zealand Breakers","Perth Wildcats","Perth Arena","Away","Jordan Ngatai","Bench","SF",6.93333333333333,0.5,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,"336843",0,-11,0,3
"2020",2019-11-17,"New Zealand Breakers","Perth Wildcats","Perth Arena","Away","Ater Majok","Bench","C",2.2,-1.2,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,"336843",0,-11,0,1
"2020",2019-11-17,"New Zealand Breakers","Perth Wildcats","Perth Arena","Away","Team","","",NA,NA,1,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"336843",0,-11,NA,NA
"2020",2019-11-17,"Sydney Kings","Illawarra Hawks","Qudos Bank Arena","Home","Casper Ware","Starter","PG",30.8,11.6,0,1,1,6,2,2,1,0,21,7,19,3,11,4,5,"336842",1,5,1,45
"2020",2019-11-17,"Sydney Kings","Illawarra Hawks","Qudos Bank Arena","Home","Brad Newley","Starter","PF",28.6333333333333,7.2,1,6,7,2,2,1,2,1,6,2,6,0,2,2,2,"336842",1,5,0,31
"2020",2019-11-17,"Sydney Kings","Illawarra Hawks","Qudos Bank Arena","Home","Jae'sean Tate","Starter","SF",27.0333333333333,17.2,1,5,6,2,4,3,1,0,24,9,12,0,2,6,12,"336842",1,5,1,48
"2020",2019-11-17,"Sydney Kings","Illawarra Hawks","Qudos Bank Arena","Home","Didi Louzada","Starter","SG",23.4333333333333,5.5,0,6,6,2,2,0,1,1,6,2,7,1,4,1,2,"336842",1,5,0,26
"2020",2019-11-17,"Sydney Kings","Illawarra Hawks","Qudos Bank Arena","Home","Andrew Bogut","Starter","C",22.2,9.2,4,5,9,2,0,0,1,0,5,2,5,0,0,1,2,"336842",1,5,0,31
"2020",2019-11-17,"Sydney Kings","Illawarra Hawks","Qudos Bank Arena","Home","Craig Moller","Bench","SF",18.2166666666667,8.5,1,4,5,2,2,1,1,0,8,2,4,1,3,3,4,"336842",1,5,0,28
"2020",2019-11-17,"Sydney Kings","Illawarra Hawks","Qudos Bank Arena","Home","Shaun Bruce","Bench","SG",17.9166666666667,2.5,0,2,2,2,1,0,1,0,5,2,6,1,5,0,0,"336842",1,5,0,14
"2020",2019-11-17,"Sydney Kings","Illawarra Hawks","Qudos Bank Arena","Home","Daniel Kickert","Bench","C",17.5166666666667,7.2,1,4,5,0,1,1,2,0,10,2,5,2,4,4,4,"336842",1,5,1,24
"2020",2019-11-17,"Sydney Kings","Illawarra Hawks","Qudos Bank Arena","Home","Deshon Taylor","Bench","SG",13.6,1.2,0,1,1,1,1,0,0,0,6,0,5,0,3,6,6,"336842",1,5,0,11
"2020",2019-11-17,"Sydney Kings","Illawarra Hawks","Qudos Bank Arena","Home","Lucas Walker","Bench","SF",0.166666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"336842",1,5,0,2
"2020",2019-11-17,"Sydney Kings","Illawarra Hawks","Qudos Bank Arena","Home","Kuany Kuany","Bench","SF",0.166666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"336842",1,5,0,2
"2020",2019-11-17,"Sydney Kings","Illawarra Hawks","Qudos Bank Arena","Home","Jordan Hunter","Bench","C",0.166666666666667,0.2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,"336842",1,5,0,2
"2020",2019-11-17,"Sydney Kings","Illawarra Hawks","Qudos Bank Arena","Home","Hunter Madden","Bench","PG",0.166666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"336842",1,5,0,2
"2020",2019-11-17,"Sydney Kings","Illawarra Hawks","Qudos Bank Arena","Home","Team","","",NA,NA,3,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"336842",1,5,NA,NA
"2020",2019-11-17,"Illawarra Hawks","Sydney Kings","Qudos Bank Arena","Away","Sunday Dech","Starter","SG",34.8333333333333,11,2,4,6,2,2,3,0,0,14,5,15,2,6,2,2,"336842",0,-5,1,43
"2020",2019-11-17,"Illawarra Hawks","Sydney Kings","Qudos Bank Arena","Away","Todd Blanchfield","Starter","SF",32.9833333333333,14.6,3,3,6,2,2,1,3,0,22,7,11,3,5,5,9,"336842",0,-5,1,38
"2020",2019-11-17,"Illawarra Hawks","Sydney Kings","Qudos Bank Arena","Away","LaMelo Ball","Starter","PG",26.2,11.1,1,7,8,6,5,1,1,0,16,7,19,1,5,1,1,"336842",0,-5,1,48
"2020",2019-11-17,"Illawarra Hawks","Sydney Kings","Qudos Bank Arena","Away","A.J. Ogilvy","Starter","C",22.8,16.8,4,9,13,1,4,1,1,1,12,5,7,1,2,1,2,"336842",0,-5,2,60
"2020",2019-11-17,"Illawarra Hawks","Sydney Kings","Qudos Bank Arena","Away","David Andersen","Starter","PF",17.25,-4.8,1,1,2,1,5,0,3,0,4,2,8,0,1,0,0,"336842",0,-5,0,3
"2020",2019-11-17,"Illawarra Hawks","Sydney Kings","Qudos Bank Arena","Away","Josh Boone","Bench","PF",25.1,8.2,0,6,6,0,3,0,2,2,12,6,8,0,0,0,2,"336842",0,-5,1,25
"2020",2019-11-17,"Illawarra Hawks","Sydney Kings","Qudos Bank Arena","Away","Daniel Grida","Bench","SF",14.6666666666667,0,0,1,1,1,2,1,1,0,0,0,1,0,1,0,0,"336842",0,-5,0,7
"2020",2019-11-17,"Illawarra Hawks","Sydney Kings","Qudos Bank Arena","Away","Emmett Naar","Bench","PG",13.8,4.2,0,1,1,4,1,0,1,0,4,1,3,0,1,2,2,"336842",0,-5,0,15
"2020",2019-11-17,"Illawarra Hawks","Sydney Kings","Qudos Bank Arena","Away","Tim Coenraad","Bench","SF",12.3666666666667,-1,0,2,2,0,3,0,1,0,3,1,4,1,4,0,0,"336842",0,-5,0,5
"2020",2019-11-17,"Illawarra Hawks","Sydney Kings","Qudos Bank Arena","Away","Team","","",NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"336842",0,-5,NA,NA
"2020",2019-11-16,"Cairns Taipans","Brisbane Bullets","Cairns Convention Centre","Home","D.J. Newbill","Starter","SG",35.65,8.1,0,5,5,3,4,1,0,0,14,4,13,1,5,5,5,"336841",1,9,1,36
"2020",2019-11-16,"Cairns Taipans","Brisbane Bullets","Cairns Convention Centre","Home","Kouat Noi","Starter","PF",30.0666666666667,19.8,1,9,10,2,2,0,1,1,20,7,11,5,9,1,2,"336841",1,9,2,63
"2020",2019-11-16,"Cairns Taipans","Brisbane Bullets","Cairns Convention Centre","Home","Scott Machado","Starter","PG",29.6666666666667,12.8,0,0,0,9,1,3,1,0,12,4,10,0,1,4,6,"336841",1,9,1,46
"2020",2019-11-16,"Cairns Taipans","Brisbane Bullets","Cairns Convention Centre","Home","Cameron Oliver","Starter","SF",26.6333333333333,12,3,6,9,0,4,0,0,1,13,5,9,1,4,2,2,"336841",1,9,1,39
"2020",2019-11-16,"Cairns Taipans","Brisbane Bullets","Cairns Convention Centre","Home","Nathan Jawai","Starter","C",22.7,9,5,2,7,3,5,0,1,1,14,3,11,0,0,8,10,"336841",1,9,1,40
"2020",2019-11-16,"Cairns Taipans","Brisbane Bullets","Cairns Convention Centre","Home","Majok Deng","Bench","C",16.9833333333333,2.8,0,0,0,1,5,0,3,1,13,4,7,1,1,4,4,"336841",1,9,1,16
"2020",2019-11-16,"Cairns Taipans","Brisbane Bullets","Cairns Convention Centre","Home","Mirko Djeric","Bench","PG",16.3166666666667,2.6,1,1,2,0,1,1,0,0,3,0,2,0,1,3,3,"336841",1,9,0,13
"2020",2019-11-16,"Cairns Taipans","Brisbane Bullets","Cairns Convention Centre","Home","Fabijan Krslovic","Bench","SF",11.6333333333333,2.8,0,1,1,0,1,2,0,0,2,1,2,0,1,0,0,"336841",1,9,0,14
"2020",2019-11-16,"Cairns Taipans","Brisbane Bullets","Cairns Convention Centre","Home","Jarrod Kenny","Bench","PG",10.3333333333333,2.8,0,2,2,0,1,1,0,0,3,1,2,0,1,1,2,"336841",1,9,0,12
"2020",2019-11-16,"Cairns Taipans","Brisbane Bullets","Cairns Convention Centre","Home","Team","","",NA,NA,NA,2,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,"336841",1,9,NA,NA
"2020",2019-11-16,"Brisbane Bullets","Cairns Taipans","Cairns Convention Centre","Away","Nathan Sobey","Starter","PG",35.1,11.2,0,6,6,7,4,1,2,0,20,7,21,2,9,4,4,"336841",0,-9,1,48
"2020",2019-11-16,"Brisbane Bullets","Cairns Taipans","Cairns Convention Centre","Away","Lamar Patterson","Starter","SF",30.05,7.1,3,4,7,6,3,0,5,0,17,4,15,0,2,9,11,"336841",0,-9,1,35
"2020",2019-11-16,"Brisbane Bullets","Cairns Taipans","Cairns Convention Centre","Away","Taylor Braun","Starter","SG",26.3166666666667,0,0,2,2,1,4,0,1,0,5,2,6,1,5,0,0,"336841",0,-9,0,9
"2020",2019-11-16,"Brisbane Bullets","Cairns Taipans","Cairns Convention Centre","Away","Matt Hodgson","Starter","C",21.3833333333333,13.8,3,6,9,2,2,0,1,1,12,4,5,0,0,4,8,"336841",0,-9,1,37
"2020",2019-11-16,"Brisbane Bullets","Cairns Taipans","Cairns Convention Centre","Away","Mika Vukona","Starter","PF",6.16666666666667,1.2,1,0,1,1,2,0,1,0,2,1,1,0,0,0,0,"336841",0,-9,0,6
"2020",2019-11-16,"Brisbane Bullets","Cairns Taipans","Cairns Convention Centre","Away","Jason Cadee","Bench","PG",30.2666666666667,11.2,2,2,4,1,1,1,0,0,13,4,8,4,7,1,2,"336841",0,-9,1,31
"2020",2019-11-16,"Brisbane Bullets","Cairns Taipans","Cairns Convention Centre","Away","Will Magnay","Bench","C",21.3166666666667,5.2,2,4,6,0,2,0,1,0,9,2,5,0,1,5,8,"336841",0,-9,0,17
"2020",2019-11-16,"Brisbane Bullets","Cairns Taipans","Cairns Convention Centre","Away","E.J. Singler","Bench","SF",20.0666666666667,4.8,1,3,4,1,5,0,1,0,7,3,4,1,2,0,0,"336841",0,-9,0,18
"2020",2019-11-16,"Brisbane Bullets","Cairns Taipans","Cairns Convention Centre","Away","Reuben Te Rangi","Bench","SF",9.33333333333333,-2,0,0,0,1,1,0,1,0,0,0,2,0,2,0,0,"336841",0,-9,0,0
"2020",2019-11-16,"Brisbane Bullets","Cairns Taipans","Cairns Convention Centre","Away","Team","","",NA,NA,3,2,5,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,"336841",0,-9,NA,NA
"2020",2019-11-16,"South East Melbourne Phoenix","Melbourne United","Melbourne Arena","Away","Mitchell Creek","Starter","SF",33.85,16.1,0,7,7,3,2,0,2,0,27,9,17,3,4,6,9,"336840",0,-1,1,42
"2020",2019-11-16,"South East Melbourne Phoenix","Melbourne United","Melbourne Arena","Away","John Roberson","Starter","PG",28.9,2.8,0,2,2,6,5,0,5,0,8,3,7,2,5,0,0,"336840",0,-1,0,20
"2020",2019-11-16,"South East Melbourne Phoenix","Melbourne United","Melbourne Arena","Away","Dane Pineau","Starter","C",21.3833333333333,7.5,4,2,6,0,2,1,1,0,6,3,4,0,0,0,0,"336840",0,-1,0,24
"2020",2019-11-16,"South East Melbourne Phoenix","Melbourne United","Melbourne Arena","Away","Ben Madgen","Starter","SG",15.7333333333333,1.2,0,5,5,3,0,1,1,0,2,1,10,0,4,0,0,"336840",0,-1,0,19
"2020",2019-11-16,"South East Melbourne Phoenix","Melbourne United","Melbourne Arena","Away","Kendall Stephens","Starter","PF",13.6666666666667,5.8,0,1,1,0,2,1,1,0,9,3,4,3,4,0,0,"336840",0,-1,0,16
"2020",2019-11-16,"South East Melbourne Phoenix","Melbourne United","Melbourne Arena","Away","Kyle Adnam","Bench","PG",28.7666666666667,7.5,1,3,4,3,4,1,0,0,9,3,8,1,4,2,2,"336840",0,-1,0,30
"2020",2019-11-16,"South East Melbourne Phoenix","Melbourne United","Melbourne Arena","Away","Adam Gibson","Bench","PG",25.8333333333333,5.2,0,3,3,4,3,0,2,0,10,4,10,2,4,0,0,"336840",0,-1,1,23
"2020",2019-11-16,"South East Melbourne Phoenix","Melbourne United","Melbourne Arena","Away","Keith Benson","Bench","C",18.6166666666667,21.8,5,3,8,1,2,0,0,5,20,8,12,0,0,4,4,"336840",0,-1,1,62
"2020",2019-11-16,"South East Melbourne Phoenix","Melbourne United","Melbourne Arena","Away","Jaye Crockett","Bench","SF",13.25,0.2,0,0,0,1,3,0,1,0,4,2,3,0,0,0,0,"336840",0,-1,0,5
"2020",2019-11-16,"South East Melbourne Phoenix","Melbourne United","Melbourne Arena","Away","Team","","",NA,NA,4,6,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"336840",0,-1,NA,NA
"2020",2019-11-16,"Melbourne United","South East Melbourne Phoenix","Melbourne Arena","Home","Melo Trimble","Starter","PG",29.9333333333333,10,0,4,4,3,3,3,3,0,22,7,17,0,5,8,10,"336840",1,1,1,40
"2020",2019-11-16,"Melbourne United","South East Melbourne Phoenix","Melbourne Arena","Home","Chris Goulding","Starter","SF",29.3333333333333,4.9,0,0,0,0,1,1,0,0,13,5,11,3,6,0,1,"336840",1,1,1,18
"2020",2019-11-16,"Melbourne United","South East Melbourne Phoenix","Melbourne Arena","Home","Mitchell McCarron","Starter","SG",27.7,4.1,0,8,8,2,3,1,0,0,3,1,8,0,3,1,1,"336840",1,1,0,28
"2020",2019-11-16,"Melbourne United","South East Melbourne Phoenix","Melbourne Arena","Home","Shawn Long","Starter","C",27.5666666666667,7.8,5,3,8,1,3,1,1,1,9,4,11,0,3,1,2,"336840",1,1,0,37
"2020",2019-11-16,"Melbourne United","South East Melbourne Phoenix","Melbourne Arena","Home","David Barlow","Starter","PF",20.1333333333333,6,3,1,4,1,3,0,2,0,13,4,10,3,4,2,2,"336840",1,1,1,25
"2020",2019-11-16,"Melbourne United","South East Melbourne Phoenix","Melbourne Arena","Home","Shea Ili","Bench","PG",22,17.8,1,1,2,4,0,2,0,0,16,5,7,4,6,2,2,"336840",1,1,1,46
"2020",2019-11-16,"Melbourne United","South East Melbourne Phoenix","Melbourne Arena","Home","Jo Acuil","Bench","C",15.2,2.8,2,2,4,0,2,0,1,1,4,2,5,0,0,0,0,"336840",1,1,0,17
"2020",2019-11-16,"Melbourne United","South East Melbourne Phoenix","Melbourne Arena","Home","Sam McDaniel","Bench","SF",11.0333333333333,7.5,3,2,5,1,0,0,0,0,8,2,6,0,1,4,4,"336840",1,1,0,24
"2020",2019-11-16,"Melbourne United","South East Melbourne Phoenix","Melbourne Arena","Home","Alex Pledger","Bench","C",8.76666666666667,0.8,0,1,1,0,0,0,1,0,4,2,4,0,0,0,0,"336840",1,1,0,5
"2020",2019-11-16,"Melbourne United","South East Melbourne Phoenix","Melbourne Arena","Home","Tohi Smith-Milner","Bench","PF",8.33333333333333,1.8,0,3,3,0,3,0,1,1,4,1,3,1,3,1,2,"336840",1,1,0,13
"2020",2019-11-16,"Melbourne United","South East Melbourne Phoenix","Melbourne Arena","Home","Team","","",NA,NA,6,1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"336840",1,1,NA,NA
"2020",2019-11-15,"Perth Wildcats","Adelaide 36ers","Adelaide Arena","Away","Bryce Cotton","Starter","PG",34.9,2.9,0,3,3,2,0,0,4,0,18,5,16,2,9,6,9,"336839",1,4,1,18
"2020",2019-11-15,"Perth Wildcats","Adelaide 36ers","Adelaide Arena","Away","Nicholas Kay","Starter","C",33.2666666666667,19.5,5,3,8,5,3,0,2,1,21,8,13,1,3,4,4,"336839",1,4,1,58
"2020",2019-11-15,"Perth Wildcats","Adelaide 36ers","Adelaide Arena","Away","Terrico White","Starter","SF",32.9166666666667,8.6,1,3,4,3,1,0,1,0,14,5,12,2,9,2,3,"336839",1,4,1,30
"2020",2019-11-15,"Perth Wildcats","Adelaide 36ers","Adelaide Arena","Away","Dario Hunt","Starter","PF",27.3,14.9,3,5,8,1,4,1,2,2,19,9,14,0,0,1,1,"336839",1,4,1,49
"2020",2019-11-15,"Perth Wildcats","Adelaide 36ers","Adelaide Arena","Away","Damian Martin","Starter","SG",22.75,8,2,1,3,3,3,3,0,1,2,1,3,0,2,0,0,"336839",1,4,0,36
"2020",2019-11-15,"Perth Wildcats","Adelaide 36ers","Adelaide Arena","Away","Mitchell Norton","Bench","PG",17.3833333333333,3.8,0,2,2,1,3,1,0,0,4,1,2,1,1,1,2,"336839",1,4,0,17
"2020",2019-11-15,"Perth Wildcats","Adelaide 36ers","Adelaide Arena","Away","Jesse Wagstaff","Bench","SF",12.4833333333333,5.8,0,1,1,0,2,1,1,0,9,4,4,1,1,0,0,"336839",1,4,0,16
"2020",2019-11-15,"Perth Wildcats","Adelaide 36ers","Adelaide Arena","Away","Clint Steindl","Bench","SF",12.2,6,0,3,3,1,2,0,1,0,10,3,6,2,4,2,2,"336839",1,4,1,20
"2020",2019-11-15,"Perth Wildcats","Adelaide 36ers","Adelaide Arena","Away","Majok Majok","Bench","PF",6.01666666666667,0.2,0,0,0,0,2,0,0,0,2,1,1,0,0,0,0,"336839",1,4,0,4
"2020",2019-11-15,"Perth Wildcats","Adelaide 36ers","Adelaide Arena","Away","Rhys Vague","Bench","PF",0.783333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"336839",1,4,0,2
"2020",2019-11-15,"Perth Wildcats","Adelaide 36ers","Adelaide Arena","Away","Team","","",NA,NA,2,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"336839",1,4,NA,NA
"2020",2019-11-15,"Adelaide 36ers","Perth Wildcats","Adelaide Arena","Home","Jerome Randle","Starter","PG",33.3833333333333,11,1,2,3,6,5,1,1,0,23,7,20,2,6,7,8,"336839",0,-4,1,45
"2020",2019-11-15,"Adelaide 36ers","Perth Wildcats","Adelaide Arena","Home","Daniel Johnson","Starter","C",31.6666666666667,22.8,3,10,13,3,2,0,0,0,23,10,16,2,5,1,2,"336839",0,-4,2,69
"2020",2019-11-15,"Adelaide 36ers","Perth Wildcats","Adelaide Arena","Home","Anthony Drmic","Starter","SF",27.5833333333333,3.9,1,3,4,2,2,1,3,0,8,3,7,0,3,2,3,"336839",0,-4,0,18
"2020",2019-11-15,"Adelaide 36ers","Perth Wildcats","Adelaide Arena","Home","Ramone Moore","Starter","SG",26.25,-1.2,1,0,1,5,4,0,3,0,6,3,11,0,0,0,0,"336839",0,-4,0,14
"2020",2019-11-15,"Adelaide 36ers","Perth Wildcats","Adelaide Arena","Home","Eric Griffin","Starter","PF",20.3,9.1,1,2,3,0,4,0,1,1,18,6,9,2,3,4,7,"336839",0,-4,1,25
"2020",2019-11-15,"Adelaide 36ers","Perth Wildcats","Adelaide Arena","Home","Jack McVeigh","Bench","SF",23.1,6.8,4,1,5,2,3,1,0,0,5,1,5,1,4,2,2,"336839",0,-4,0,28
"2020",2019-11-15,"Adelaide 36ers","Perth Wildcats","Adelaide Arena","Home","Obi Kyei","Bench","SF",13.3,5.2,4,1,5,1,3,1,2,0,5,2,4,1,1,0,0,"336839",0,-4,0,22
"2020",2019-11-15,"Adelaide 36ers","Perth Wildcats","Adelaide Arena","Home","Harry Froling","Bench","C",12.5166666666667,2.8,0,2,2,1,1,0,1,0,4,2,3,0,1,0,0,"336839",0,-4,0,9
"2020",2019-11-15,"Adelaide 36ers","Perth Wildcats","Adelaide Arena","Home","Daniel Dillon","Bench","SF",4.8,0.2,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,"336839",0,-4,0,4
"2020",2019-11-15,"Adelaide 36ers","Perth Wildcats","Adelaide Arena","Home","Kevin White","Bench","SG",4.18333333333333,1.2,0,0,0,0,0,0,1,0,3,1,1,1,1,0,0,"336839",0,-4,0,2
"2020",2019-11-15,"Adelaide 36ers","Perth Wildcats","Adelaide Arena","Home","Brendan Teys","Bench","PG",2.93333333333333,-0.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"336839",0,-4,0,0
"2020",2019-11-15,"Adelaide 36ers","Perth Wildcats","Adelaide Arena","Home","Team","","",NA,NA,6,2,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"336839",0,-4,NA,NA
"2020",2019-11-10,"Sydney Kings","Perth Wildcats","Qudos Bank Arena","Home","Casper Ware","Starter","PG",28.1,11,0,0,0,3,2,1,0,0,23,7,16,3,8,6,8,"336800",1,19,1,35
"2020",2019-11-10,"Sydney Kings","Perth Wildcats","Qudos Bank Arena","Home","Brad Newley","Starter","PF",26.1333333333333,10,0,5,5,2,0,0,0,1,13,6,13,1,3,0,0,"336800",1,19,1,33
"2020",2019-11-10,"Sydney Kings","Perth Wildcats","Qudos Bank Arena","Home","Didi Louzada","Starter","SG",23.7166666666667,22.6,1,5,6,2,3,2,1,0,28,10,15,7,11,1,1,"336800",1,19,1,60
"2020",2019-11-10,"Sydney Kings","Perth Wildcats","Qudos Bank Arena","Home","Jae'sean Tate","Starter","SF",21.5833333333333,11.6,2,6,8,0,3,1,1,1,12,5,7,1,2,1,3,"336800",1,19,1,36
"2020",2019-11-10,"Sydney Kings","Perth Wildcats","Qudos Bank Arena","Home","Andrew Bogut","Starter","C",18.5166666666667,11.5,4,4,8,4,1,1,1,2,2,1,4,0,0,0,0,"336800",1,19,0,45
"2020",2019-11-10,"Sydney Kings","Perth Wildcats","Qudos Bank Arena","Home","Craig Moller","Bench","SF",19.1666666666667,5.6,1,3,4,1,3,0,0,0,10,4,9,1,3,1,1,"336800",1,19,1,23
"2020",2019-11-10,"Sydney Kings","Perth Wildcats","Qudos Bank Arena","Home","Daniel Kickert","Bench","C",17.8333333333333,2.8,0,2,2,1,1,0,2,1,4,2,3,0,1,0,0,"336800",1,19,0,13
"2020",2019-11-10,"Sydney Kings","Perth Wildcats","Qudos Bank Arena","Home","Shaun Bruce","Bench","SG",16.9333333333333,5.5,0,0,0,7,4,0,1,0,3,1,2,1,2,0,0,"336800",1,19,0,25
"2020",2019-11-10,"Sydney Kings","Perth Wildcats","Qudos Bank Arena","Home","Deshon Taylor","Bench","SG",15.0833333333333,-1,0,0,0,0,1,1,0,0,0,0,2,0,1,0,0,"336800",1,19,0,5
"2020",2019-11-10,"Sydney Kings","Perth Wildcats","Qudos Bank Arena","Home","Lucas Walker","Bench","SF",7.33333333333333,6.5,1,1,2,1,0,0,0,0,6,3,3,0,0,0,0,"336800",1,19,0,16
"2020",2019-11-10,"Sydney Kings","Perth Wildcats","Qudos Bank Arena","Home","Kuany Kuany","Bench","SF",1.86666666666667,1.5,0,0,0,0,0,0,0,0,3,1,2,1,1,0,0,"336800",1,19,0,6
"2020",2019-11-10,"Sydney Kings","Perth Wildcats","Qudos Bank Arena","Home","Jordan Hunter","Bench","C",1.86666666666667,0.5,1,1,2,0,1,0,0,0,0,0,1,0,0,0,0,"336800",1,19,0,7
"2020",2019-11-10,"Sydney Kings","Perth Wildcats","Qudos Bank Arena","Home","Lochlan Hutchison","Bench","SG",1.86666666666667,-1.5,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,"336800",1,19,0,1
"2020",2019-11-10,"Sydney Kings","Perth Wildcats","Qudos Bank Arena","Home","Team","","",NA,NA,2,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"336800",1,19,NA,NA
